wattage,port_count,resolution,bluetooth,wireless,shipping_class,title,variant,price_paise,connector,usb_pd,dimensions,sku,cost_paise,os_support,battery,inventory,description,category
,,1080p,,,standard,CrystalClear 1080p Webcam (Model 9),,4041,USB-A,,,CAM-1080p-009,3000,,,436,1080p resolution webcam.,webcams
,,4K,,,standard,CrystalClear 4K Webcam (Model 10),,12088,USB-A,,,CAM-4K-010,8000,,,323,4K resolution webcam.,webcams
,,4K,,,standard,CrystalClear 4K Webcam (Model 11),,11669,USB-A,,,CAM-4K-011,8000,,,351,4K resolution webcam.,webcams
,,4K,,,standard,CrystalClear 4K Webcam (Model 12),,11118,USB-A,,,CAM-4K-012,8000,,,349,4K resolution webcam.,webcams
,,720p,,,standard,CrystalClear 720p Webcam (Model 13),,2372,USB-A,,,CAM-720p-013,1500,,,78,720p resolution webcam.,webcams
,,1080p,,,standard,CrystalClear 1080p Webcam (Model 14),,4003,USB-A,,,CAM-1080p-014,3000,,,64,1080p resolution webcam.,webcams
,,4K,,,standard,CrystalClear 4K Webcam (Model 15),,11727,USB-A,,,CAM-4K-015,8000,,,149,4K resolution webcam.,webcams
,,,,No,standard,Studio Wired Headphones (Model 1),,3404,,,,AUD-WRD-001,2000,,N/A,377,Over-ear headphones.,headphones
,,,,No,standard,Studio Wired Headphones (Model 2),,3003,,,,AUD-WRD-002,2000,,N/A,334,Over-ear headphones.,headphones
,,,,No,standard,Studio Wired Headphones (Model 3),,3305,,,,AUD-WRD-003,2000,,N/A,138,Over-ear headphones.,headphones
,,,,Yes,standard,Studio Wireless Headphones (Model 4),,5061,,,,AUD-WIR-004,3500,,20h,226,Over-ear headphones.,headphones
,,,,No,standard,Studio Wired Headphones (Model 5),,2844,,,,AUD-WRD-005,2000,,N/A,180,Over-ear headphones.,headphones
,,,,Yes,standard,Studio Wireless Headphones (Model 6),,6014,,,,AUD-WIR-006,3500,,20h,144,Over-ear headphones.,headphones
,,,,Yes,standard,Studio Wireless Headphones (Model 7),,6197,,,,AUD-WIR-007,3500,,20h,292,Over-ear headphones.,headphones
,,,,No,standard,Studio Wired Headphones (Model 8),,3360,,,,AUD-WRD-008,2000,,N/A,67,Over-ear headphones.,headphones
,,,,Yes,standard,Studio Wireless Headphones (Model 9),,6553,,,,AUD-WIR-009,3500,,20h,363,Over-ear headphones.,headphones
,,,,Yes,standard,Studio Wireless Headphones (Model 10),,5854,,,,AUD-WIR-010,3500,,20h,437,Over-ear headphones.,headphones
,,,,No,standard,Studio Wired Headphones (Model 11),,3382,,,,AUD-WRD-011,2000,,N/A,85,Over-ear headphones.,headphones
,,,,No,standard,Studio Wired Headphones (Model 12),,2927,,,,AUD-WRD-012,2000,,N/A,167,Over-ear headphones.,headphones
,,,,No,standard,Studio Wired Headphones (Model 13),,3698,,,,AUD-WRD-013,2000,,N/A,417,Over-ear headphones.,headphones
,,,,Yes,standard,Studio Wireless Headphones (Model 14),,6473,,,,AUD-WIR-014,3500,,20h,117,Over-ear headphones.,headphones
,,,,Yes,standard,Studio Wireless Headphones (Model 15),,6067,,,,AUD-WIR-015,3500,,20h,191,Over-ear headphones.,headphones
,,,,,hazardous,HighCap 26800mAh Power Bank (Model 1),,392684,,Yes,,PWR-BNK-26800MAH-001,268000,,26800mAh,218,Portable power bank.,power_banks
,,,,,hazardous,HighCap 26800mAh Power Bank (Model 2),,381857,,Yes,,PWR-BNK-26800MAH-002,268000,,26800mAh,483,Portable power bank.,power_banks
,,,,,hazardous,HighCap 10000mAh Power Bank (Model 3),,145938,,Yes,,PWR-BNK-10000MAH-003,100000,,10000mAh,419,Portable power bank.,power_banks
,,,,,hazardous,HighCap 10000mAh Power Bank (Model 4),,146442,,Yes,,PWR-BNK-10000MAH-004,100000,,10000mAh,22,Portable power bank.,power_banks
,,,,,hazardous,HighCap 10000mAh Power Bank (Model 5),,142096,,Yes,,PWR-BNK-10000MAH-005,100000,,10000mAh,180,Portable power bank.,power_banks
,,,,,hazardous,HighCap 20000mAh Power Bank (Model 6),,288134,,Yes,,PWR-BNK-20000MAH-006,200000,,20000mAh,452,Portable power bank.,power_banks
,,,,,hazardous,HighCap 26800mAh Power Bank (Model 7),,386784,,Yes,,PWR-BNK-26800MAH-007,268000,,26800mAh,146,Portable power bank.,power_banks
,,,,,hazardous,HighCap 10000mAh Power Bank (Model 8),,143621,,Yes,,PWR-BNK-10000MAH-008,100000,,10000mAh,65,Portable power bank.,power_banks
,,,,,hazardous,HighCap 20000mAh Power Bank (Model 9),,292330,,Yes,,PWR-BNK-20000MAH-009,200000,,20000mAh,449,Portable power bank.,power_banks
,,,,,hazardous,HighCap 20000mAh Power Bank (Model 10),,253346,,Yes,,PWR-BNK-20000MAH-010,200000,,20000mAh,428,Portable power bank.,power_banks
,,,,,hazardous,HighCap 20000mAh Power Bank (Model 11),,260979,,Yes,,PWR-BNK-20000MAH-011,200000,,20000mAh,430,Portable power bank.,power_banks
,,,,,hazardous,HighCap 10000mAh Power Bank (Model 12),,126687,,Yes,,PWR-BNK-10000MAH-012,100000,,10000mAh,347,Portable power bank.,power_banks
,,,,,hazardous,HighCap 10000mAh Power Bank (Model 13),,131953,,Yes,,PWR-BNK-10000MAH-013,100000,,10000mAh,152,Portable power bank.,power_banks
,,,,,hazardous,HighCap 10000mAh Power Bank (Model 14),,149006,,Yes,,PWR-BNK-10000MAH-014,100000,,10000mAh,152,Portable power bank.,power_banks
,,,,,hazardous,HighCap 20000mAh Power Bank (Model 15),,278488,,Yes,,PWR-BNK-20000MAH-015,200000,,20000mAh,214,Portable power bank.,power_banks
,,,,,standard,Durable USB-C to Lightning Cable 1m (Model 1),,891,USB-C to Lightning,,,CBL-USB-C2Lightning-001,300,,,284,Braided USB-C to Lightning cable.,cables
,,,,,standard,Durable USB-A to USB-C Cable 1m (Model 2),,872,USB-A to USB-C,,,CBL-USB-A2USB-C-002,300,,,69,Braided USB-A to USB-C cable.,cables
,,,,,standard,Durable USB-A to USB-C Cable 1m (Model 3),,530,USB-A to USB-C,,,CBL-USB-A2USB-C-003,300,,,145,Braided USB-A to USB-C cable.,cables
,,,,,standard,Durable USB-C to USB-C Cable 1m (Model 4),,498,USB-C to USB-C,,,CBL-USB-C2USB-C-004,300,,,232,Braided USB-C to USB-C cable.,cables
,,,,,standard,Durable USB-A to USB-C Cable 1m (Model 5),,777,USB-A to USB-C,,,CBL-USB-A2USB-C-005,300,,,170,Braided USB-A to USB-C cable.,cables
,,,,,standard,Durable USB-A to USB-C Cable 1m (Model 6),,722,USB-A to USB-C,,,CBL-USB-A2USB-C-006,300,,,271,Braided USB-A to USB-C cable.,cables
,,,,,standard,Durable USB-C to USB-C Cable 1m (Model 7),,623,USB-C to USB-C,,,CBL-USB-C2USB-C-007,300,,,305,Braided USB-C to USB-C cable.,cables
,,,,,standard,Durable USB-C to USB-C Cable 1m (Model 8),,564,USB-C to USB-C,,,CBL-USB-C2USB-C-008,300,,,372,Braided USB-C to USB-C cable.,cables
,,,,,standard,Durable USB-A to USB-C Cable 1m (Model 9),,450,USB-A to USB-C,,,CBL-USB-A2USB-C-009,300,,,483,Braided USB-A to USB-C cable.,cables
,,,,,standard,Durable USB-C to Lightning Cable 1m (Model 10),,759,USB-C to Lightning,,,CBL-USB-C2Lightning-010,300,,,491,Braided USB-C to Lightning cable.,cables
,,,,,standard,Durable USB-C to Lightning Cable 1m (Model 11),,781,USB-C to Lightning,,,CBL-USB-C2Lightning-011,300,,,110,Braided USB-C to Lightning cable.,cables
,,,,,standard,Durable USB-A to USB-C Cable 1m (Model 12),,644,USB-A to USB-C,,,CBL-USB-A2USB-C-012,300,,,495,Braided USB-A to USB-C cable.,cables
,,,,,standard,Durable USB-C to Lightning Cable 1m (Model 13),,864,USB-C to Lightning,,,CBL-USB-C2Lightning-013,300,,,329,Braided USB-C to Lightning cable.,cables
,,,,,standard,Durable USB-A to USB-C Cable 1m (Model 14),,748,USB-A to USB-C,,,CBL-USB-A2USB-C-014,300,,,73,Braided USB-A to USB-C cable.,cables
,,,,,standard,Durable USB-C to Lightning Cable 1m (Model 15),,855,USB-C to Lightning,,,CBL-USB-C2Lightning-015,300,,,269,Braided USB-C to Lightning cable.,cables
,,,,,standard,Compact USB-C to Ethernet Adapter (Model 1),,1306,USB-C to Ethernet,,,ADP-USB-C2Ethernet-001,800,,,177,Plug and play USB-C to Ethernet adapter.,adapters
,,,,,standard,Compact USB-C to Ethernet Adapter (Model 2),,1318,USB-C to Ethernet,,,ADP-USB-C2Ethernet-002,800,,,293,Plug and play USB-C to Ethernet adapter.,adapters
,,,,,standard,Compact USB-C to HDMI Adapter (Model 3),,1116,USB-C to HDMI,,,ADP-USB-C2HDMI-003,800,,,350,Plug and play USB-C to HDMI adapter.,adapters
,,,,,standard,Compact USB-C to Ethernet Adapter (Model 4),,1310,USB-C to Ethernet,,,ADP-USB-C2Ethernet-004,800,,,472,Plug and play USB-C to Ethernet adapter.,adapters
,,,,,standard,Compact USB-C to HDMI Adapter (Model 5),,1286,USB-C to HDMI,,,ADP-USB-C2HDMI-005,800,,,164,Plug and play USB-C to HDMI adapter.,adapters
,,,,,standard,Compact USB-C to Ethernet Adapter (Model 6),,1259,USB-C to Ethernet,,,ADP-USB-C2Ethernet-006,800,,,10,Plug and play USB-C to Ethernet adapter.,adapters
,,,,,standard,Compact USB-C to Ethernet Adapter (Model 7),,1154,USB-C to Ethernet,,,ADP-USB-C2Ethernet-007,800,,,230,Plug and play USB-C to Ethernet adapter.,adapters
,,,,,standard,Compact USB-A to USB-C Adapter (Model 8),,1282,USB-A to USB-C,,,ADP-USB-A2USB-C-008,800,,,174,Plug and play USB-A to USB-C adapter.,adapters
,,,,,standard,Compact USB-C to Ethernet Adapter (Model 9),,1216,USB-C to Ethernet,,,ADP-USB-C2Ethernet-009,800,,,355,Plug and play USB-C to Ethernet adapter.,adapters
,,,,,standard,Compact USB-C to HDMI Adapter (Model 10),,1244,USB-C to HDMI,,,ADP-USB-C2HDMI-010,800,,,416,Plug and play USB-C to HDMI adapter.,adapters
,,,,,standard,Compact USB-A to USB-C Adapter (Model 11),,1107,USB-A to USB-C,,,ADP-USB-A2USB-C-011,800,,,53,Plug and play USB-A to USB-C adapter.,adapters
,,,,,standard,Compact USB-C to Ethernet Adapter (Model 12),,1246,USB-C to Ethernet,,,ADP-USB-C2Ethernet-012,800,,,334,Plug and play USB-C to Ethernet adapter.,adapters
,,,,,standard,Compact USB-A to USB-C Adapter (Model 13),,1174,USB-A to USB-C,,,ADP-USB-A2USB-C-013,800,,,429,Plug and play USB-A to USB-C adapter.,adapters
,,,,,standard,Compact USB-C to HDMI Adapter (Model 14),,1309,USB-C to HDMI,,,ADP-USB-C2HDMI-014,800,,,125,Plug and play USB-C to HDMI adapter.,adapters
,,,,,standard,Compact USB-C to HDMI Adapter (Model 15),,1098,USB-C to HDMI,,,ADP-USB-C2HDMI-015,800,,,33,Plug and play USB-C to HDMI adapter.,adapters
